Expected Points For Each Team From Making Each Round
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|        Team       | Round of 32 | Sweet 16 | Elite 8 | Final 4 | Championship | Winner |  Total  |
|  William and Mary |    1.961    |  1.270   |  0.757  |  0.497  |    0.245     | 0.132  |  4.862  |
|   Morehead State  |    2.157    |  1.227   |  0.760  |  0.385  |    0.189     | 0.087  |  4.805  |
|  New Mexico State |    2.122    |  1.108   |  0.576  |  0.308  |    0.146     | 0.064  |  4.324  |
|       Dayton      |    1.180    |  0.918   |  0.742  |  0.500  |    0.360     | 0.234  |  3.934  |
|        Iowa       |    1.150    |  0.845   |  0.602  |  0.440  |    0.290     | 0.179  |  3.507  |
|    Long Island    |    1.171    |  0.654   |  0.344  |  0.142  |    0.053     | 0.022  |  2.386  |
|    Old Dominion   |    0.897    |  0.449   |  0.211  |  0.078  |    0.026     | 0.009  |  1.670  |
|      Colgate      |    0.709    |  0.294   |  0.151  |  0.068  |    0.031     | 0.013  |  1.266  |
|       Howard      |    0.333    |  0.100   |  0.038  |  0.013  |    0.004     | 0.001  |  0.489  |
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
