Expected Points For Each Team From Making Each Round
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|        Team       | Round of 32 | Sweet 16 | Elite 8 | Final 4 | Championship | Winner |  Total  |
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|       Auburn      |    9.921    |  15.977  |  23.905 |  34.577 |    48.257    | 65.043 | 197.679 |
|      Alabama      |    9.743    |  14.030  |  21.018 |  30.877 |    40.240    | 46.128 | 162.036 |
|      Florida      |    9.743    |  14.485  |  20.194 |  28.416 |    30.555    | 36.401 | 139.793 |
|     Tennessee     |    9.569    |  14.064  |  18.397 |  25.692 |    30.845    | 33.141 | 131.709 |
|        TAMU       |    9.601    |  15.160  |  21.248 |  19.569 |    22.260    | 24.097 | 111.934 |
| Mississippi State |    9.030    |  11.992  |  15.643 |  14.649 |    12.020    | 11.191 |  74.525 |
|       Purdue      |    9.371    |  15.420  |  11.348 |  12.223 |    12.398    | 11.883 |  72.644 |
|      Michigan     |    8.980    |  13.588  |  14.970 |  12.813 |    11.456    | 8.795  |  70.602 |
|      Kentucky     |    9.030    |  10.466  |  13.856 |  12.107 |    11.670    | 9.426  |  66.555 |
|   Michigan State  |    8.853    |  12.550  |  9.356  |  10.379 |    9.548     | 7.318  |  58.004 |
|        Duke       |    9.654    |  10.805  |  12.080 |  9.818  |    8.359     | 6.077  |  56.792 |
|     Iowa State    |    9.625    |  13.432  |  12.612 |  9.614  |    6.316     | 4.774  |  56.372 |
|      Ole Miss     |    7.516    |  9.157   |  8.644  |  10.533 |    10.691    | 9.472  |  56.014 |
|      Missouri     |    7.141    |  9.363   |  8.294  |  9.731  |    8.085     | 7.616  |  50.231 |
|      Houston      |    9.183    |  8.930   |  7.101  |  7.555  |    6.534     | 4.833  |  44.136 |
|     Wisconsin     |    6.804    |  6.953   |  8.827  |  7.231  |    6.555     | 4.942  |  41.312 |
|     Marquette     |    9.270    |  9.947   |  7.816  |  4.821  |    3.323     | 1.854  |  37.032 |
|       Kansas      |    9.527    |  9.654   |  7.184  |  3.992  |    2.931     | 2.000  |  35.288 |
|      Illinois     |    8.578    |  7.247   |  7.762  |  5.486  |    3.325     | 2.327  |  34.724 |
|       Oregon      |    8.801    |  7.835   |  5.242  |  4.925  |    3.065     | 2.200  |  32.067 |
|        UCLA       |    6.530    |  7.406   |  6.129  |  3.855  |    3.162     | 2.423  |  29.505 |
|      Oklahoma     |    6.141    |  4.068   |  4.770  |  5.382  |    5.054     | 3.963  |  29.378 |
|      Georgia      |    6.895    |  4.618   |  4.277  |  4.379  |    3.623     | 2.551  |  26.344 |
|     Texas Tech    |    5.112    |  4.739   |  4.820  |  3.442  |    2.593     | 1.646  |  22.352 |
|      Maryland     |    4.888    |  4.426   |  4.409  |  3.062  |    2.246     | 1.384  |  20.415 |
|      Memphis      |    7.128    |  5.590   |  2.680  |  2.114  |    1.309     | 0.651  |  19.471 |
|       UConn       |    7.864    |  5.246   |  3.436  |  1.610  |    0.811     | 0.333  |  19.301 |
|      Nebraska     |    5.281    |  5.377   |  3.994  |  2.317  |    1.504     | 0.787  |  19.260 |
|      Arizona      |    5.503    |  3.201   |  3.020  |  2.894  |    1.846     | 1.357  |  17.823 |
|       Baylor      |    6.674    |  3.623   |  3.158  |  1.469  |    0.917     | 0.528  |  16.370 |
|   West Virginia   |    4.719    |  4.554   |  3.154  |  1.696  |    1.022     | 0.493  |  15.638 |
|    Saint John's   |    5.666    |  2.479   |  2.315  |  1.991  |    1.588     | 1.182  |  15.220 |
|      Gonzaga      |    8.175    |  3.953   |  1.126  |  0.551  |    0.242     | 0.097  |  14.143 |
|        Pitt       |    5.303    |  3.573   |  2.114  |  0.958  |    0.365     | 0.163  |  12.475 |
|     Ohio State    |    4.497    |  2.277   |  1.930  |  1.662  |    0.929     | 0.602  |  11.898 |
|     Louisville    |    3.859    |  1.868   |  1.784  |  1.611  |    1.164     | 0.684  |  10.970 |
|  San Diego State  |    4.697    |  2.931   |  1.597  |  0.661  |    0.229     | 0.093  |  10.209 |
|     Creighton     |    2.663    |  2.082   |  2.111  |  1.257  |    0.837     | 0.450  |  9.400  |
|    Saint Mary's   |    3.470    |  2.892   |  1.639  |  0.667  |    0.368     | 0.186  |  9.221  |
|      Clemson      |    4.334    |  1.539   |  1.254  |  0.927  |    0.630     | 0.396  |  9.081  |
|     Utah State    |    2.859    |  2.551   |  1.281  |  0.946  |    0.439     | 0.238  |  8.313  |
|   North Carolina  |    3.105    |  1.215   |  0.692  |  0.449  |    0.224     | 0.091  |  5.775  |
|     UC-Irvine     |    3.326    |  1.103   |  0.618  |  0.169  |    0.064     | 0.022  |  5.301  |
|      Bradley      |    2.872    |  1.277   |  0.297  |  0.126  |    0.039     | 0.010  |  4.620  |
