Expected Points For Each Team From Making Each Round
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|        Team       | Round of 32 | Sweet 16 | Elite 8 | Final 4 | Championship | Winner |  Total  |
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|       Auburn      |    9.983    |  16.294  |  25.580 |  41.679 |    61.646    | 72.700 | 227.882 |
|        Duke       |    9.994    |  15.446  |  26.200 |  31.051 |    48.718    | 65.523 | 196.932 |
|      Houston      |    9.809    |  16.852  |  21.543 |  24.770 |    37.198    | 47.470 | 157.641 |
|      Florida      |    9.936    |  13.381  |  20.209 |  28.483 |    29.760    | 27.765 | 129.533 |
|      Alabama      |    9.865    |  15.004  |  21.516 |  29.472 |    21.574    | 20.696 | 118.128 |
|     Tennessee     |    9.807    |  16.182  |  15.395 |  15.216 |    20.522    | 22.815 |  99.937 |
|     Iowa State    |    9.907    |  14.205  |  17.437 |  15.952 |    12.362    | 8.264  |  78.127 |
|   Michigan State  |    8.669    |  12.996  |  11.035 |  12.039 |    6.411     | 4.604  |  55.755 |
|       Kansas      |    9.726    |  10.944  |  13.269 |  8.625  |    7.908     | 5.024  |  55.495 |
|      Kentucky     |    9.217    |  9.981   |  12.559 |  11.472 |    5.962     | 4.265  |  53.456 |
|      Illinois     |    7.850    |  10.651  |  11.256 |  9.460  |    6.661     | 3.975  |  49.853 |
|      Gonzaga      |    8.918    |  11.105  |  6.901  |  8.274  |    8.242     | 5.716  |  49.157 |
|     Marquette     |    9.150    |  11.005  |  9.579  |  7.285  |    3.076     | 1.810  |  41.905 |
|      Missouri     |    6.977    |  9.464   |  6.901  |  7.257  |    5.064     | 3.000  |  38.663 |
|     Wisconsin     |    6.605    |  7.090   |  8.926  |  8.248  |    4.440     | 3.240  |  38.549 |
|        TAMU       |    9.468    |  10.265  |  8.909  |  4.436  |    3.253     | 1.584  |  37.915 |
|      Arizona      |    6.538    |  4.934   |  6.394  |  7.547  |    6.142     | 4.322  |  35.877 |
|       Purdue      |    9.120    |  8.299   |  4.078  |  4.163  |    3.434     | 1.912  |  31.004 |
|       Baylor      |    7.465    |  8.106   |  7.311  |  3.766  |    2.870     | 1.443  |  30.961 |
|      Michigan     |    8.161    |  9.470   |  4.290  |  2.222  |    1.937     | 1.257  |  27.337 |
| Mississippi State |    8.196    |  7.136   |  5.789  |  3.541  |    1.789     | 0.742  |  27.193 |
|       UConn       |    8.936    |  9.283   |  3.744  |  1.745  |    1.386     | 0.812  |  25.906 |
|       Oregon      |    8.554    |  7.243   |  3.607  |  2.834  |    1.381     | 0.551  |  24.171 |
|    Saint Mary's   |    5.298    |  4.939   |  5.493  |  3.185  |    2.633     | 1.497  |  23.045 |
|   West Virginia   |    6.017    |  5.745   |  4.345  |  2.857  |    1.034     | 0.523  |  20.520 |
|     Texas Tech    |    5.736    |  2.875   |  3.710  |  2.585  |    2.821     | 2.390  |  20.116 |
|     Louisville    |    6.373    |  3.677   |  3.772  |  3.502  |    1.433     | 0.824  |  19.582 |
|        UCLA       |    4.702    |  4.093   |  4.311  |  2.264  |    1.731     | 0.890  |  17.990 |
|      Memphis      |    6.895    |  4.827   |  2.211  |  1.477  |    0.373     | 0.141  |  15.924 |
|    Saint John's   |    5.655    |  2.305   |  2.217  |  2.354  |    2.037     | 1.203  |  15.772 |
|  San Diego State  |    5.450    |  3.388   |  2.782  |  1.532  |    0.699     | 0.263  |  14.115 |
|      Ole Miss     |    6.582    |  2.394   |  1.417  |  0.671  |    0.509     | 0.283  |  11.857 |
|     Creighton     |    3.019    |  2.613   |  2.761  |  2.001  |    0.795     | 0.443  |  11.633 |
|      Maryland     |    4.264    |  1.679   |  1.932  |  1.115  |    1.053     | 0.752  |  10.795 |
|      Georgia      |    5.769    |  2.463   |  0.981  |  0.407  |    0.275     | 0.134  |  10.029 |
|        Pitt       |    4.550    |  2.399   |  1.740  |  0.804  |    0.305     | 0.092  |  9.891  |
|      Nebraska     |    3.983    |  3.007   |  1.667  |  0.788  |    0.186     | 0.065  |  9.695  |
|     Ohio State    |    3.462    |  1.683   |  1.673  |  1.466  |    0.816     | 0.377  |  9.476  |
|      Clemson      |    4.345    |  1.400   |  1.165  |  1.086  |    0.806     | 0.396  |  9.199  |
|     Utah State    |    3.023    |  2.982   |  1.187  |  0.792  |    0.314     | 0.099  |  8.396  |
|      Oklahoma     |    3.627    |  1.297   |  0.998  |  0.662  |    0.167     | 0.062  |  6.812  |
|   North Carolina  |    4.231    |  1.313   |  0.383  |  0.117  |    0.061     | 0.022  |  6.128  |
|   McNeese State   |    2.150    |  1.662   |  0.844  |  0.299  |    0.087     | 0.020  |  5.061  |
|     UC-Irvine     |    2.535    |  1.556   |  0.700  |  0.149  |    0.053     | 0.011  |  5.003  |
|      Bradley      |    3.105    |  1.278   |  0.292  |  0.108  |    0.013     | 0.002  |  4.798  |
|     New Mexico    |    2.408    |  0.559   |  0.234  |  0.075  |    0.041     | 0.015  |  3.331  |
|        Yale       |    1.839    |  0.969   |  0.112  |  0.017  |    0.005     | 0.001  |  2.943  |
|    Saint Louis    |    1.804    |  0.551   |  0.151  |  0.026  |    0.004     | 0.000  |  2.536  |
|     High Point    |    1.331    |  0.898   |  0.173  |  0.055  |    0.005     | 0.001  |  2.463  |
|    Utah Valley    |    1.446    |  0.312   |  0.028  |  0.005  |    0.001     | 0.000  |  1.791  |
|      Lipscomb     |    1.082    |  0.445   |  0.050  |  0.018  |    0.004     | 0.001  |  1.600  |
|      Samford      |    1.064    |  0.279   |  0.013  |  0.001  |    0.000     | 0.000  |  1.356  |
|        Iowa       |    1.011    |  0.143   |  0.039  |  0.008  |    0.003     | 0.001  |  1.205  |
|       Bryant      |    0.850    |  0.243   |  0.030  |  0.003  |    0.000     | 0.000  |  1.125  |
| Northern Colorado |    0.880    |  0.151   |  0.008  |  0.002  |    0.000     | 0.000  |  1.041  |
|       Akron       |    0.783    |  0.171   |  0.056  |  0.009  |    0.001     | 0.000  |  1.018  |
|       Dayton      |    0.376    |  0.145   |  0.077  |  0.022  |    0.003     | 0.001  |  0.624  |
|       Marist      |    0.532    |  0.074   |  0.006  |  0.000  |    0.000     | 0.000  |  0.611  |
|      Southern     |    0.274    |  0.024   |  0.003  |  0.000  |    0.000     | 0.000  |  0.301  |
|  New Mexico State |    0.191    |  0.052   |  0.006  |  0.000  |    0.000     | 0.000  |  0.249  |
|  Cleveland State  |    0.193    |  0.041   |  0.002  |  0.000  |    0.000     | 0.000  |  0.237  |
|   Nebraska-Omaha  |    0.135    |  0.022   |  0.004  |  0.000  |    0.000     | 0.000  |  0.161  |
|    Long Island    |    0.074    |  0.007   |  0.000  |  0.000  |    0.000     | 0.000  |  0.081  |
|  William and Mary |    0.064    |  0.003   |  0.000  |  0.000  |    0.000     | 0.000  |  0.067  |
|    Old Dominion   |    0.019    |  0.001   |  0.000  |  0.000  |    0.000     | 0.000  |  0.020  |
|      Colgate      |    0.015    |  0.001   |  0.000  |  0.000  |    0.000     | 0.000  |  0.016  |
|   Morehead State  |    0.006    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.006  |
|       Howard      |    0.001    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.001  |
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
