Expected Points For Each Team Taking the Team With the Highest Overall Chance Each Round, Eliminating All Others That Cannot Continue
+-----------------------+-------------+----------+---------+---------+--------------+--------+---------+
|          Team         | Round of 32 | Sweet 16 | Elite 8 | Final 4 | Championship | Winner |  Total  |
+-----------------------+-------------+----------+---------+---------+--------------+--------+---------+
|         UConn         |    8.131    |  11.747  |  15.764 |  21.263 |    28.395    | 35.495 | 120.794 |
|        Houston        |    8.060    |  11.923  |  15.098 |  21.065 |    26.112    | 0.000  |  82.258 |
|         Purdue        |    8.142    |  10.361  |  13.100 |  17.446 |    0.000     | 0.000  |  49.050 |
|     North Carolina    |    8.099    |  10.776  |  11.822 |  13.332 |    0.000     | 0.000  |  44.029 |
|     South Carolina    |    6.331    |  7.852   |  9.388  |  0.000  |    0.000     | 0.000  |  23.571 |
|       Marquette       |    6.792    |  7.830   |  8.991  |  0.000  |    0.000     | 0.000  |  23.613 |
|        Illinois       |    5.916    |  7.026   |  7.691  |  0.000  |    0.000     | 0.000  |  20.633 |
|         Nevada        |    5.393    |  6.478   |  7.462  |  0.000  |    0.000     | 0.000  |  19.333 |
|       Tennessee       |    6.965    |  8.447   |  0.000  |  0.000  |    0.000     | 0.000  |  15.411 |
|     James Madison     |    6.701    |  8.065   |  0.000  |  0.000  |    0.000     | 0.000  |  14.766 |
|       Iowa State      |    6.743    |  7.048   |  0.000  |  0.000  |    0.000     | 0.000  |  13.791 |
|       New Mexico      |    5.713    |  6.864   |  0.000  |  0.000  |    0.000     | 0.000  |  12.577 |
|         Auburn        |    5.779    |  6.713   |  0.000  |  0.000  |    0.000     | 0.000  |  12.492 |
|        Kentucky       |    5.705    |  6.457   |  0.000  |  0.000  |    0.000     | 0.000  |  12.161 |
|     McNeese State     |    5.442    |  6.190   |  0.000  |  0.000  |    0.000     | 0.000  |  11.631 |
|      Grand Canyon     |    5.191    |  5.959   |  0.000  |  0.000  |    0.000     | 0.000  |  11.150 |
|        Arizona        |    6.545    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.545  |
|       Utah State      |    6.363    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.363  |
|          FAU          |    6.099    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.099  |
|         Drake         |    5.990    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.990  |
|        Samford        |    5.887    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.887  |
|       Creighton       |    5.815    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.815  |
|   Mississippi State   |    5.665    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.665  |
