Expected Points For Each Team From Making Each Round
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|        Team       | Round of 32 | Sweet 16 | Elite 8 | Final 4 | Championship | Winner |  Total  |
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|       Auburn      |    9.224    |  12.439  |  17.865 |  24.309 |    32.664    | 42.079 | 138.580 |
|      Alabama      |    8.319    |  11.078  |  14.074 |  19.180 |    24.151    | 28.944 | 105.745 |
|      Florida      |    8.524    |  11.243  |  13.879 |  18.169 |    20.077    | 23.018 |  94.910 |
|        Duke       |    8.082    |  10.158  |  13.098 |  15.080 |    16.843    | 18.132 |  81.392 |
|      Houston      |    7.843    |  9.296   |  11.201 |  12.945 |    14.128    | 14.848 |  70.260 |
|     Tennessee     |    7.168    |  9.825   |  10.896 |  12.502 |    13.538    | 14.113 |  68.043 |
|      Memphis      |    6.385    |  7.829   |  8.088  |  10.027 |    11.335    | 12.111 |  55.776 |
|        TAMU       |    7.201    |  8.295   |  9.584  |  9.200  |    10.057    | 10.377 |  54.714 |
|     Utah State    |    6.347    |  7.851   |  8.322  |  10.145 |    10.258    | 10.789 |  53.712 |
| Mississippi State |    7.308    |  8.603   |  9.918  |  9.590  |    8.733     | 8.294  |  52.446 |
|     Iowa State    |    8.005    |  9.241   |  9.947  |  9.122  |    7.861     | 7.073  |  51.248 |
|       Purdue      |    6.800    |  8.795   |  7.469  |  8.077  |    8.595     | 8.620  |  48.356 |
|      Michigan     |    6.702    |  8.327   |  8.366  |  8.472  |    8.285     | 7.770  |  47.922 |
|     Marquette     |    7.097    |  8.223   |  8.758  |  7.790  |    7.533     | 6.826  |  46.227 |
|    Saint Mary's   |    6.040    |  7.499   |  8.126  |  7.593  |    8.101     | 8.146  |  45.504 |
|     Wisconsin     |    5.974    |  6.962   |  8.072  |  7.493  |    7.540     | 7.125  |  43.167 |
|     UC-Irvine     |    6.285    |  6.712   |  7.379  |  6.678  |    6.922     | 6.750  |  40.725 |
|     Texas Tech    |    5.930    |  5.590   |  6.220  |  6.029  |    5.636     | 5.043  |  34.448 |
|       Oregon      |    6.363    |  6.089   |  5.612  |  6.063  |    5.293     | 4.823  |  34.245 |
|       Kansas      |    6.943    |  6.614   |  6.321  |  5.133  |    4.820     | 4.233  |  34.064 |
|   Michigan State  |    6.025    |  5.744   |  5.113  |  5.604  |    5.520     | 5.098  |  33.105 |
|      Ole Miss     |    5.461    |  5.288   |  5.551  |  5.535  |    5.158     | 4.602  |  31.596 |
|    Saint John's   |    5.424    |  4.154   |  4.773  |  5.047  |    5.251     | 5.140  |  29.789 |
|  San Diego State  |    5.739    |  5.927   |  5.841  |  4.836  |    3.749     | 3.040  |  29.132 |
|     Louisville    |    5.547    |  4.649   |  4.583  |  4.978  |    4.855     | 4.439  |  29.052 |
|      Kentucky     |    5.606    |  5.369   |  5.630  |  4.614  |    4.131     | 3.454  |  28.804 |
|      Illinois     |    5.490    |  5.466   |  5.586  |  4.675  |    3.665     | 3.004  |  27.886 |
|      Arizona      |    5.438    |  4.549   |  4.338  |  4.480  |    3.706     | 3.204  |  25.716 |
|      Nebraska     |    5.207    |  5.141   |  4.763  |  3.610  |    3.002     | 2.324  |  24.046 |
|     New Mexico    |    3.605    |  3.590   |  3.868  |  3.967  |    3.809     | 3.504  |  22.343 |
|       UConn       |    5.270    |  4.729   |  3.753  |  3.003  |    2.303     | 1.681  |  20.740 |
|      Clemson      |    4.576    |  3.174   |  3.388  |  3.299  |    3.159     | 2.831  |  20.427 |
|      Gonzaga      |    5.684    |  4.998   |  3.158  |  2.663  |    2.204     | 1.695  |  20.403 |
|   West Virginia   |    4.793    |  4.542   |  4.024  |  2.899  |    2.298     | 1.692  |  20.249 |
|        UCLA       |    3.960    |  4.127   |  3.625  |  2.683  |    2.313     | 1.856  |  18.563 |
|   McNeese State   |    4.510    |  4.070   |  3.769  |  2.810  |    1.955     | 1.425  |  18.540 |
|      Oklahoma     |    4.453    |  3.304   |  2.902  |  2.838  |    2.466     | 1.997  |  17.959 |
|     Ohio State    |    4.562    |  3.465   |  3.009  |  2.848  |    2.126     | 1.662  |  17.673 |
|       Akron       |    4.394    |  3.685   |  3.424  |  2.424  |    1.891     | 1.368  |  17.186 |
|   North Carolina  |    5.059    |  3.849   |  2.858  |  2.229  |    1.602     | 1.094  |  16.691 |
|     Creighton     |    2.890    |  3.090   |  3.290  |  2.747  |    2.503     | 2.131  |  16.651 |
|      Samford      |    4.730    |  3.999   |  2.977  |  2.234  |    1.604     | 1.094  |  16.636 |
|      Missouri     |    3.653    |  3.543   |  2.827  |  2.688  |    2.018     | 1.585  |  16.313 |
|      Bradley      |    3.615    |  3.429   |  2.625  |  2.529  |    2.161     | 1.721  |  16.080 |
|      Georgia      |    4.941    |  3.707   |  2.713  |  2.087  |    1.478     | 0.994  |  15.920 |
|        Pitt       |    4.261    |  3.812   |  3.206  |  2.219  |    1.429     | 0.965  |  15.892 |
|      Maryland     |    4.070    |  3.143   |  2.919  |  2.306  |    1.745     | 1.256  |  15.439 |
|     High Point    |    3.975    |  2.998   |  2.100  |  1.872  |    1.470     | 1.072  |  13.485 |
|       Baylor      |    3.715    |  3.041   |  2.566  |  1.715  |    1.344     | 0.976  |  13.357 |
|      Lipscomb     |    4.316    |  3.240   |  1.696  |  1.213  |    0.850     | 0.550  |  11.865 |
|        Yale       |    3.298    |  2.946   |  1.988  |  1.353  |    0.878     | 0.540  |  11.002 |
|    Utah Valley    |    3.637    |  2.517   |  1.679  |  1.356  |    0.844     | 0.551  |  10.584 |
| Northern Colorado |    3.200    |  2.967   |  1.564  |  1.125  |    0.794     | 0.516  |  10.165 |
|  Cleveland State  |    2.832    |  2.619   |  1.757  |  1.242  |    0.804     | 0.494  |  9.748  |
|       Marist      |    2.799    |  1.953   |  1.374  |  0.750  |    0.486     | 0.290  |  7.651  |
|       Bryant      |    2.903    |  2.093   |  1.339  |  0.674  |    0.379     | 0.196  |  7.583  |
|    Saint Louis    |    2.692    |  1.861   |  1.262  |  0.660  |    0.319     | 0.162  |  6.957  |
|      Southern     |    3.057    |  1.759   |  1.025  |  0.489  |    0.278     | 0.145  |  6.754  |
|  New Mexico State |    2.157    |  1.248   |  0.761  |  0.428  |    0.218     | 0.105  |  4.916  |
|   Morehead State  |    1.918    |  1.108   |  0.680  |  0.342  |    0.163     | 0.073  |  4.284  |
|   Nebraska-Omaha  |    1.681    |  0.969   |  0.515  |  0.315  |    0.166     | 0.080  |  3.725  |
|       Dayton      |    1.137    |  0.893   |  0.701  |  0.407  |    0.263     | 0.157  |  3.557  |
|  William and Mary |    1.476    |  0.743   |  0.333  |  0.168  |    0.062     | 0.024  |  2.806  |
|        Iowa       |    0.934    |  0.578   |  0.394  |  0.249  |    0.143     | 0.078  |  2.375  |
|    Old Dominion   |    1.098    |  0.582   |  0.279  |  0.104  |    0.036     | 0.013  |  2.113  |
|    Long Island    |    0.897    |  0.438   |  0.193  |  0.066  |    0.021     | 0.007  |  1.621  |
|      Colgate      |    0.463    |  0.148   |  0.059  |  0.020  |    0.007     | 0.002  |  0.699  |
|       Howard      |    0.312    |  0.084   |  0.028  |  0.008  |    0.002     | 0.001  |  0.435  |
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
