Expected Points For Each Team From Making Each Round
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|        Team       | Round of 32 | Sweet 16 | Elite 8 | Final 4 | Championship | Winner |  Total  |
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|       Auburn      |    9.746    |  13.772  |  20.352 |  30.106 |    43.432    | 58.882 | 176.290 |
|      Alabama      |    9.229    |  13.131  |  17.460 |  24.955 |    31.428    | 36.892 | 133.095 |
|      Florida      |    9.193    |  12.664  |  16.644 |  22.745 |    23.828    | 27.012 | 112.087 |
|        Duke       |    9.270    |  12.184  |  16.434 |  18.714 |    21.042    | 21.911 |  99.556 |
|     Tennessee     |    8.527    |  12.403  |  14.889 |  17.774 |    20.257    | 21.404 |  95.253 |
|       Purdue      |    8.379    |  12.210  |  9.633  |  11.261 |    12.710    | 13.030 |  67.224 |
|        TAMU       |    8.286    |  10.814  |  12.739 |  10.754 |    11.840    | 11.806 |  66.239 |
|     Iowa State    |    9.175    |  11.669  |  13.459 |  12.284 |    9.646     | 8.310  |  64.544 |
|      Houston      |    8.840    |  9.902   |  10.442 |  11.085 |    11.159    | 10.317 |  61.744 |
|      Michigan     |    7.572    |  10.534  |  10.092 |  9.788  |    9.375     | 8.218  |  55.579 |
| Mississippi State |    7.807    |  9.852   |  10.988 |  9.996  |    7.822     | 6.716  |  53.181 |
|      Memphis      |    7.093    |  8.372   |  7.773  |  9.515  |    9.868     | 9.417  |  52.039 |
|     Marquette     |    8.403    |  10.124  |  10.391 |  8.255  |    7.106     | 5.581  |  49.860 |
|   Michigan State  |    7.069    |  7.506   |  6.529  |  7.604  |    7.422     | 6.646  |  42.776 |
|     Wisconsin     |    6.047    |  7.134   |  8.508  |  7.377  |    6.905     | 5.917  |  41.888 |
|     Utah State    |    5.585    |  7.201   |  6.812  |  8.052  |    6.897     | 6.459  |  41.006 |
|    Saint Mary's   |    5.485    |  6.750   |  7.230  |  5.527  |    5.614     | 5.117  |  35.723 |
|       Kansas      |    8.221    |  7.542   |  7.161  |  4.694  |    4.194     | 3.319  |  35.131 |
|      Kentucky     |    6.535    |  6.520   |  7.300  |  5.810  |    5.010     | 3.942  |  35.116 |
|      Ole Miss     |    5.827    |  5.958   |  5.886  |  5.846  |    5.486     | 4.707  |  33.710 |
|    Saint John's   |    5.835    |  3.945   |  4.599  |  5.310  |    5.917     | 5.979  |  31.585 |
|       Oregon      |    7.187    |  6.268   |  4.873  |  4.908  |    3.411     | 2.611  |  29.257 |
|      Arizona      |    6.140    |  4.787   |  4.876  |  5.256  |    3.985     | 3.319  |  28.363 |
|     Texas Tech    |    5.551    |  4.469   |  4.914  |  4.283  |    3.687     | 2.886  |  25.792 |
|      Missouri     |    4.415    |  5.221   |  4.361  |  4.662  |    3.497     | 2.883  |  25.039 |
|      Illinois     |    5.962    |  5.623   |  5.224  |  3.818  |    2.360     | 1.611  |  24.598 |
|     Louisville    |    5.645    |  3.982   |  3.812  |  4.072  |    3.582     | 2.878  |  23.972 |
|        UCLA       |    4.515    |  5.156   |  5.041  |  3.429  |    3.161     | 2.589  |  23.890 |
|     UC-Irvine     |    5.697    |  4.988   |  4.626  |  2.878  |    2.459     | 1.854  |  22.502 |
|  San Diego State  |    5.565    |  4.757   |  4.439  |  3.109  |    1.836     | 1.199  |  20.905 |
|      Gonzaga      |    7.161    |  5.447   |  2.594  |  2.070  |    1.580     | 1.054  |  19.907 |
|      Nebraska     |    5.098    |  4.716   |  3.931  |  2.443  |    1.659     | 1.020  |  18.867 |
|       UConn       |    5.948    |  4.803   |  3.104  |  2.036  |    1.321     | 0.768  |  17.980 |
|     New Mexico    |    3.433    |  3.367   |  3.186  |  3.027  |    2.711     | 2.214  |  17.937 |
|   West Virginia   |    4.902    |  4.446   |  3.623  |  2.193  |    1.452     | 0.869  |  17.484 |
|      Georgia      |    5.513    |  3.878   |  2.984  |  2.306  |    1.664     | 1.082  |  17.427 |
|      Maryland     |    4.449    |  3.155   |  3.139  |  2.410  |    1.829     | 1.253  |  16.235 |
|     Creighton     |    2.920    |  3.141   |  3.422  |  2.626  |    2.186     | 1.658  |  15.953 |
|      Clemson      |    4.165    |  2.252   |  2.274  |  2.252  |    2.144     | 1.819  |  14.905 |
|      Oklahoma     |    4.355    |  2.622   |  2.185  |  2.055  |    1.558     | 1.072  |  13.848 |
|        Pitt       |    4.435    |  3.346   |  2.762  |  1.669  |    0.843     | 0.472  |  13.527 |
|       Baylor      |    4.303    |  3.233   |  2.562  |  1.319  |    0.956     | 0.603  |  12.977 |
|   North Carolina  |    4.487    |  2.787   |  1.886  |  1.286  |    0.814     | 0.462  |  11.723 |
|   McNeese State   |    4.038    |  3.091   |  2.304  |  1.305  |    0.616     | 0.323  |  11.677 |
|     Ohio State    |    3.860    |  2.281   |  1.812  |  1.545  |    0.873     | 0.546  |  10.917 |
|       Akron       |    3.465    |  2.411   |  1.960  |  1.037  |    0.602     | 0.315  |  9.789  |
|      Samford      |    4.052    |  2.598   |  1.288  |  0.648  |    0.323     | 0.143  |  9.052  |
|      Bradley      |    2.907    |  2.204   |  1.197  |  0.949  |    0.591     | 0.332  |  8.180  |
|     High Point    |    2.931    |  1.918   |  0.963  |  0.712  |    0.410     | 0.213  |  7.147  |
|        Yale       |    2.428    |  2.065   |  0.969  |  0.461  |    0.217     | 0.091  |  6.232  |
|    Utah Valley    |    2.813    |  1.310   |  0.541  |  0.313  |    0.112     | 0.045  |  5.133  |
|    Saint Louis    |    2.193    |  1.434   |  0.770  |  0.302  |    0.097     | 0.035  |  4.831  |
|      Lipscomb     |    2.839    |  1.189   |  0.269  |  0.114  |    0.046     | 0.015  |  4.472  |
|       Marist      |    1.714    |  0.965   |  0.451  |  0.128  |    0.054     | 0.019  |  3.331  |
| Northern Colorado |    1.621    |  1.154   |  0.273  |  0.120  |    0.050     | 0.018  |  3.235  |
|  Cleveland State  |    1.473    |  0.932   |  0.395  |  0.170  |    0.067     | 0.023  |  3.060  |
|       Dayton      |    1.033    |  0.794   |  0.621  |  0.313  |    0.174     | 0.087  |  3.022  |
|       Bryant      |    1.597    |  0.714   |  0.244  |  0.057  |    0.015     | 0.003  |  2.630  |
|      Southern     |    1.779    |  0.553   |  0.190  |  0.039  |    0.012     | 0.003  |  2.575  |
|  New Mexico State |    1.160    |  0.342   |  0.098  |  0.027  |    0.007     | 0.001  |  1.635  |
|        Iowa       |    0.740    |  0.430   |  0.234  |  0.126  |    0.062     | 0.027  |  1.621  |
|  William and Mary |    0.807    |  0.268   |  0.081  |  0.027  |    0.005     | 0.001  |  1.190  |
|   Nebraska-Omaha  |    0.771    |  0.265   |  0.080  |  0.029  |    0.008     | 0.002  |  1.153  |
|   Morehead State  |    0.730    |  0.192   |  0.059  |  0.012  |    0.002     | 0.000  |  0.996  |
|    Old Dominion   |    0.524    |  0.158   |  0.041  |  0.007  |    0.001     | 0.000  |  0.730  |
|    Long Island    |    0.301    |  0.070   |  0.014  |  0.002  |    0.000     | 0.000  |  0.387  |
|      Colgate      |    0.162    |  0.022   |  0.004  |  0.001  |    0.000     | 0.000  |  0.188  |
|       Howard      |    0.092    |  0.009   |  0.001  |  0.000  |    0.000     | 0.000  |  0.103  |
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
