GameDay,GameID,TeamID,Team,OpponentID,Opponent,Location,Division,Conference,Playoffs,WinOrLoss,PlayerType,MIN,PTS,FGM,FGA,3FM,3FA,FTM,FTA,REB,AST,STL,BLK,OREB,TO,PF
11/4/2024,1260347,427,Boston College,368,Citadel,H,,,,W,,194,69,21,54,5,18,22,28,0,10,7,2,11,14,0
11/4/2024,1260347,368,Citadel,427,Boston College,V,,,,L,,196,60,20,52,3,24,17,25,0,11,8,5,8,14,0
11/4/2024,1260385,11202,Texas A&M-Commerce,450,Iowa,V,,,,L,,194,67,29,62,7,24,2,6,0,12,5,5,10,24,0
11/4/2024,1260385,450,Iowa,11202,Texas A&M-Commerce,H,,,,W,,194,89,32,70,10,29,15,20,0,23,13,10,14,14,0
11/4/2024,1260647,549,UC Riverside,326,Oregon,V,,,,L,,196,76,29,65,12,34,6,12,0,13,5,2,7,8,0
11/4/2024,1260647,326,Oregon,549,UC Riverside,H,,,,W,,196,91,33,66,6,19,19,25,0,16,5,4,13,8,0
11/4/2024,1260668,366,Bradley,523,Southeast Missouri State,H,,,,W,,193,88,30,54,10,23,18,25,0,15,10,3,10,15,0
11/4/2024,1260668,523,Southeast Missouri State,366,Bradley,V,,,,L,,194,60,24,57,6,23,6,10,0,8,11,2,7,17,0
11/4/2024,1260747,479,Duquesne,555,Lipscomb,H,,,,L,,195,72,28,62,6,20,10,19,0,10,6,4,8,14,0
11/4/2024,1260747,555,Lipscomb,479,Duquesne,V,,,,W,,197,77,25,48,9,21,18,26,0,16,3,2,2,16,0
11/4/2024,1260772,486,Washington State,534,Portland State,H,,,,W,,195,100,30,57,15,32,25,32,0,15,6,4,9,20,0
11/4/2024,1260772,534,Portland State,486,Washington State,V,,,,L,,196,92,33,68,12,27,14,21,0,16,9,4,13,15,0
11/4/2024,1260922,361,Towson,320,Saint Mary`s,V,,,,L,,195,69,27,64,4,13,11,19,0,13,2,3,11,7,0
11/4/2024,1260922,320,Saint Mary`s,361,Towson,H,,,,W,,195,76,25,54,4,16,22,29,0,11,4,1,12,9,0
11/4/2024,1260936,325,Wisconsin,457,Holy Cross,H,,,,W,,191,85,29,59,11,31,16,16,0,15,7,2,7,11,0
11/4/2024,1260936,457,Holy Cross,325,Wisconsin,V,,,,L,,194,61,23,53,9,24,6,7,0,8,4,2,3,12,0
