Expected Points For Each Team From Making Each Round
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|        Team       | Round of 32 | Sweet 16 | Elite 8 | Final 4 | Championship | Winner |  Total  |
|    Utah Valley    |    1.765    |  0.503   |  0.050  |  0.009  |    0.001     | 0.000  |  2.327  |
|    Saint Louis    |    1.723    |  0.430   |  0.102  |  0.018  |    0.002     | 0.000  |  2.276  |
|     High Point    |    1.202    |  0.703   |  0.126  |  0.034  |    0.002     | 0.000  |  2.068  |
|       Akron       |    1.190    |  0.319   |  0.126  |  0.030  |    0.003     | 0.000  |  1.668  |
|      Samford      |    1.128    |  0.308   |  0.020  |  0.001  |    0.000     | 0.000  |  1.458  |
|      Lipscomb     |    1.111    |  0.276   |  0.026  |  0.007  |    0.001     | 0.000  |  1.422  |
|       Bryant      |    0.931    |  0.274   |  0.040  |  0.005  |    0.000     | 0.000  |  1.251  |
|        Iowa       |    0.906    |  0.118   |  0.029  |  0.007  |    0.003     | 0.001  |  1.064  |
| Northern Colorado |    0.522    |  0.101   |  0.005  |  0.001  |    0.000     | 0.000  |  0.629  |
|       Dayton      |    0.283    |  0.117   |  0.057  |  0.017  |    0.002     | 0.000  |  0.477  |
|       Marist      |    0.384    |  0.048   |  0.003  |  0.000  |    0.000     | 0.000  |  0.435  |
|  Cleveland State  |    0.178    |  0.045   |  0.002  |  0.000  |    0.000     | 0.000  |  0.226  |
|      Southern     |    0.203    |  0.014   |  0.001  |  0.000  |    0.000     | 0.000  |  0.219  |
|   Nebraska-Omaha  |    0.179    |  0.027   |  0.004  |  0.000  |    0.000     | 0.000  |  0.211  |
|  New Mexico State |    0.091    |  0.016   |  0.001  |  0.000  |    0.000     | 0.000  |  0.108  |
|  William and Mary |    0.065    |  0.002   |  0.000  |  0.000  |    0.000     | 0.000  |  0.067  |
|    Long Island    |    0.042    |  0.003   |  0.000  |  0.000  |    0.000     | 0.000  |  0.045  |
|    Old Dominion   |    0.020    |  0.001   |  0.000  |  0.000  |    0.000     | 0.000  |  0.021  |
|      Colgate      |    0.012    |  0.001   |  0.000  |  0.000  |    0.000     | 0.000  |  0.013  |
|   Morehead State  |    0.009    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.009  |
|       Howard      |    0.001    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.001  |
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
