Expected Points For Each Team From Making Each Round
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|        Team       | Round of 32 | Sweet 16 | Elite 8 | Final 4 | Championship | Winner |  Total  |
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|       Auburn      |    9.986    |  16.507  |  25.373 |  39.720 |    57.444    | 69.525 | 218.555 |
|      Houston      |    9.909    |  16.619  |  20.181 |  25.255 |    38.861    | 49.856 | 160.681 |
|        Duke       |    9.991    |  14.685  |  23.726 |  25.176 |    38.147    | 47.762 | 159.487 |
|     Tennessee     |    9.822    |  16.552  |  16.747 |  19.316 |    28.016    | 33.158 | 123.611 |
|      Florida      |    9.935    |  12.619  |  19.753 |  25.808 |    26.558    | 25.497 | 120.170 |
|      Alabama      |    9.821    |  14.534  |  20.828 |  28.017 |    20.973    | 19.525 | 113.698 |
|     Iowa State    |    9.938    |  14.621  |  17.377 |  17.378 |    14.488    | 11.112 |  84.914 |
|       Kansas      |    9.797    |  11.785  |  14.567 |  10.909 |    10.864    | 8.287  |  66.209 |
|      Illinois     |    8.358    |  12.027  |  13.329 |  13.069 |    10.633    | 7.937  |  65.354 |
|   Michigan State  |    8.798    |  12.683  |  10.597 |  11.140 |    5.588     | 3.681  |  52.488 |
|      Kentucky     |    8.810    |  8.991   |  10.934 |  10.087 |    5.122     | 3.440  |  47.384 |
|       Purdue      |    9.478    |  10.851  |  6.677  |  7.301  |    6.931     | 4.948  |  46.185 |
|        TAMU       |    9.616    |  10.989  |  9.768  |  5.643  |    4.540     | 2.686  |  43.243 |
|     Marquette     |    9.069    |  10.829  |  9.649  |  7.803  |    3.351     | 1.932  |  42.632 |
|     Wisconsin     |    6.266    |  7.128   |  8.975  |  8.718  |    4.822     | 3.470  |  39.379 |
|      Arizona      |    5.933    |  4.797   |  6.749  |  7.556  |    6.367     | 4.935  |  36.337 |
|      Gonzaga      |    8.889    |  8.772   |  4.968  |  5.133  |    4.571     | 3.024  |  35.356 |
|      Missouri     |    6.981    |  9.391   |  6.069  |  5.240  |    3.190     | 1.747  |  32.618 |
|      Michigan     |    8.139    |  9.713   |  5.487  |  2.854  |    2.748     | 1.891  |  30.832 |
|       Baylor      |    7.675    |  7.775   |  6.700  |  3.662  |    2.840     | 1.591  |  30.243 |
|       UConn       |    8.872    |  8.966   |  4.199  |  1.799  |    1.530     | 0.896  |  26.263 |
| Mississippi State |    8.277    |  6.356   |  4.844  |  3.113  |    1.572     | 0.706  |  24.867 |
|     Texas Tech    |    5.839    |  3.416   |  4.322  |  2.841  |    3.222     | 2.719  |  22.359 |
|       Oregon      |    8.235    |  7.180   |  3.200  |  2.035  |    0.864     | 0.324  |  21.837 |
|   West Virginia   |    6.011    |  5.812   |  4.543  |  3.217  |    1.170     | 0.579  |  21.330 |
|    Saint Mary's   |    5.175    |  4.325   |  4.554  |  2.654  |    2.155     | 1.286  |  20.150 |
|     Louisville    |    6.132    |  3.775   |  3.968  |  3.702  |    1.535     | 0.857  |  19.970 |
|        UCLA       |    4.825    |  3.876   |  3.946  |  2.191  |    1.708     | 0.972  |  17.518 |
|      Memphis      |    6.885    |  5.222   |  2.716  |  1.906  |    0.519     | 0.200  |  17.448 |
|     Creighton     |    3.450    |  3.445   |  3.860  |  3.229  |    1.458     | 0.877  |  16.318 |
|    Saint John's   |    6.139    |  2.535   |  2.304  |  2.210  |    1.823     | 1.117  |  16.129 |
|     Ohio State    |    4.067    |  2.581   |  3.193  |  2.994  |    2.025     | 1.242  |  16.102 |
|      Ole Miss     |    6.696    |  2.642   |  1.566  |  0.959  |    0.859     | 0.541  |  13.264 |
|        Pitt       |    5.479    |  3.092   |  2.307  |  1.320  |    0.586     | 0.230  |  13.013 |
|      Maryland     |    4.161    |  1.899   |  2.091  |  1.100  |    1.066     | 0.740  |  11.058 |
|      Nebraska     |    3.989    |  3.086   |  1.815  |  0.963  |    0.236     | 0.083  |  10.171 |
|      Georgia      |    5.827    |  2.232   |  0.879  |  0.434  |    0.325     | 0.165  |  9.860  |
|  San Diego State  |    4.521    |  2.283   |  1.534  |  0.787  |    0.312     | 0.110  |  9.547  |
|      Oklahoma     |    3.868    |  1.664   |  1.392  |  0.990  |    0.270     | 0.105  |  8.289  |
|     Utah State    |    3.019    |  2.926   |  0.986  |  0.499  |    0.162     | 0.046  |  7.639  |
|      Clemson      |    3.861    |  0.957   |  0.646  |  0.471  |    0.284     | 0.120  |  6.339  |
|   North Carolina  |    4.173    |  1.171   |  0.342  |  0.128  |    0.076     | 0.029  |  5.919  |
|      Bradley      |    3.115    |  1.391   |  0.369  |  0.142  |    0.017     | 0.003  |  5.037  |
|     UC-Irvine     |    2.325    |  1.188   |  0.461  |  0.098  |    0.033     | 0.007  |  4.112  |
|   McNeese State   |    1.642    |  1.187   |  0.507  |  0.173  |    0.044     | 0.010  |  3.563  |
|     New Mexico    |    2.398    |  0.606   |  0.252  |  0.107  |    0.071     | 0.031  |  3.464  |
|        Yale       |    1.861    |  1.012   |  0.154  |  0.022  |    0.008     | 0.002  |  3.059  |
