Expected Points For Each Team Taking the Team With the Highest Overall Chance Each Round, Eliminating All Others That Cannot Continue
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|        Team       | Round of 32 | Sweet 16 | Elite 8 | Final 4 | Championship | Winner |  Total  |
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|       Auburn      |    9.993    |  16.599  |  25.640 |  40.565 |    59.971    | 72.790 | 225.559 |
|      Houston      |    9.923    |  16.773  |  20.547 |  25.807 |    40.029    | 0.000  | 113.080 |
|      Alabama      |    9.927    |  14.744  |  21.003 |  28.249 |    0.000     | 0.000  |  73.924 |
|      Florida      |    9.967    |  12.425  |  19.240 |  24.819 |    0.000     | 0.000  |  66.451 |
|        Duke       |    9.993    |  14.707  |  23.566 |  0.000  |    0.000     | 0.000  |  48.266 |
|     Iowa State    |    9.966    |  14.478  |  17.112 |  0.000  |    0.000     | 0.000  |  41.555 |
|       Kansas      |    9.904    |  11.966  |  14.854 |  0.000  |    0.000     | 0.000  |  36.724 |
|      Kentucky     |    9.323    |  10.015  |  12.269 |  0.000  |    0.000     | 0.000  |  31.607 |
|     Tennessee     |    9.860    |  16.455  |  0.000  |  0.000  |    0.000     | 0.000  |  26.315 |
|   Michigan State  |    9.094    |  13.355  |  0.000  |  0.000  |    0.000     | 0.000  |  22.449 |
|      Illinois     |    8.698    |  12.363  |  0.000  |  0.000  |    0.000     | 0.000  |  21.062 |
|     Marquette     |    9.512    |  11.387  |  0.000  |  0.000  |    0.000     | 0.000  |  20.899 |
|        TAMU       |    9.695    |  10.933  |  0.000  |  0.000  |    0.000     | 0.000  |  20.628 |
|       Purdue      |    9.629    |  10.722  |  0.000  |  0.000  |    0.000     | 0.000  |  20.351 |
|      Michigan     |    8.762    |  10.422  |  0.000  |  0.000  |    0.000     | 0.000  |  19.184 |
|      Missouri     |    7.020    |  9.156   |  0.000  |  0.000  |    0.000     | 0.000  |  16.175 |
|      Gonzaga      |    9.276    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  9.276  |
|       UConn       |    9.213    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  9.213  |
|       Oregon      |    8.747    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  8.747  |
| Mississippi State |    8.503    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  8.503  |
|       Baylor      |    8.128    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  8.128  |
|      Memphis      |    7.074    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  7.074  |
|      Ole Miss     |    6.846    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.846  |
|     Wisconsin     |    6.401    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.401  |
|   West Virginia   |    6.185    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.185  |
|    Saint John's   |    6.158    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.158  |
|     Louisville    |    6.120    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  6.120  |
|     Texas Tech    |    5.848    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.848  |
|      Arizona      |    5.816    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.816  |
|      Georgia      |    5.789    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.789  |
|        Pitt       |    5.647    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.647  |
|        UCLA       |    5.194    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  5.194  |
