Expected Points For Each Team From Making Each Round
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|        Team       | Round of 32 | Sweet 16 | Elite 8 | Final 4 | Championship | Winner |  Total  |
|     Creighton     |    3.210    |  2.883   |  3.062  |  2.394  |    1.014     | 0.570  |  13.133 |
|      Maryland     |    4.152    |  1.867   |  2.009  |  1.052  |    1.014     | 0.698  |  10.792 |
|      Georgia      |    5.789    |  2.319   |  0.940  |  0.476  |    0.358     | 0.185  |  10.067 |
|  San Diego State  |    4.353    |  2.183   |  1.433  |  0.750  |    0.296     | 0.105  |  9.121  |
|      Nebraska     |    3.815    |  2.694   |  1.486  |  0.725  |    0.170     | 0.055  |  8.945  |
|      Oklahoma     |    3.880    |  1.587   |  1.309  |  0.933  |    0.264     | 0.104  |  8.077  |
|     Utah State    |    2.980    |  2.730   |  0.899  |  0.435  |    0.135     | 0.037  |  7.216  |
|      Clemson      |    3.842    |  0.963   |  0.656  |  0.494  |    0.308     | 0.134  |  6.398  |
|   North Carolina  |    4.211    |  1.201   |  0.353  |  0.133  |    0.079     | 0.031  |  6.007  |
|      Bradley      |    2.926    |  1.152   |  0.257  |  0.088  |    0.010     | 0.002  |  4.435  |
|     UC-Irvine     |    1.872    |  0.787   |  0.240  |  0.036  |    0.009     | 0.001  |  2.945  |
|     New Mexico    |    2.134    |  0.453   |  0.170  |  0.064  |    0.038     | 0.014  |  2.872  |
|   McNeese State   |    1.302    |  0.794   |  0.280  |  0.080  |    0.016     | 0.003  |  2.475  |
|    Saint Louis    |    1.497    |  0.320   |  0.066  |  0.010  |    0.001     | 0.000  |  1.895  |
|        Yale       |    1.238    |  0.507   |  0.052  |  0.005  |    0.001     | 0.000  |  1.803  |
|    Utah Valley    |    1.253    |  0.266   |  0.017  |  0.002  |    0.000     | 0.000  |  1.539  |
|     High Point    |    0.906    |  0.451   |  0.056  |  0.012  |    0.001     | 0.000  |  1.425  |
|        Iowa       |    1.020    |  0.136   |  0.035  |  0.009  |    0.004     | 0.001  |  1.205  |
|      Samford      |    0.787    |  0.139   |  0.006  |  0.000  |    0.000     | 0.000  |  0.932  |
|      Lipscomb     |    0.724    |  0.132   |  0.008  |  0.002  |    0.000     | 0.000  |  0.865  |
|       Akron       |    0.677    |  0.130   |  0.035  |  0.005  |    0.000     | 0.000  |  0.848  |
|       Dayton      |    0.390    |  0.153   |  0.079  |  0.025  |    0.003     | 0.001  |  0.651  |
|       Bryant      |    0.488    |  0.088   |  0.006  |  0.000  |    0.000     | 0.000  |  0.583  |
| Northern Colorado |    0.371    |  0.047   |  0.001  |  0.000  |    0.000     | 0.000  |  0.420  |
|       Marist      |    0.305    |  0.030   |  0.001  |  0.000  |    0.000     | 0.000  |  0.337  |
|  Cleveland State  |    0.140    |  0.025   |  0.001  |  0.000  |    0.000     | 0.000  |  0.167  |
|      Southern     |    0.096    |  0.004   |  0.000  |  0.000  |    0.000     | 0.000  |  0.101  |
|  New Mexico State |    0.077    |  0.010   |  0.000  |  0.000  |    0.000     | 0.000  |  0.088  |
|   Nebraska-Omaha  |    0.073    |  0.007   |  0.001  |  0.000  |    0.000     | 0.000  |  0.080  |
|  William and Mary |    0.033    |  0.001   |  0.000  |  0.000  |    0.000     | 0.000  |  0.033  |
|    Long Island    |    0.020    |  0.001   |  0.000  |  0.000  |    0.000     | 0.000  |  0.020  |
|    Old Dominion   |    0.015    |  0.001   |  0.000  |  0.000  |    0.000     | 0.000  |  0.015  |
|   Morehead State  |    0.007    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.008  |
|      Colgate      |    0.006    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.006  |
|       Howard      |    0.001    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.001  |
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
