Expected Points For Each Team From Making Each Round
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|        Team       | Round of 32 | Sweet 16 | Elite 8 | Final 4 | Championship | Winner |  Total  |
+-------------------+-------------+----------+---------+---------+--------------+--------+---------+
|       Auburn      |    9.993    |  16.599  |  25.640 |  40.565 |    59.971    | 72.790 | 225.559 |
|      Houston      |    9.923    |  16.773  |  20.547 |  25.807 |    40.029    | 51.820 | 164.899 |
|        Duke       |    9.993    |  14.707  |  23.566 |  24.986 |    38.154    | 48.086 | 159.492 |
|     Tennessee     |    9.860    |  16.455  |  16.405 |  18.806 |    27.295    | 32.257 | 121.077 |
|      Florida      |    9.967    |  12.425  |  19.240 |  24.819 |    24.639    | 22.892 | 113.981 |
|      Alabama      |    9.927    |  14.744  |  21.003 |  28.249 |    20.273    | 18.468 | 112.664 |
|     Iowa State    |    9.966    |  14.478  |  17.112 |  17.370 |    14.232    | 10.806 |  83.964 |
|       Kansas      |    9.904    |  11.966  |  14.854 |  10.800 |    10.833    | 8.140  |  66.497 |
|      Illinois     |    8.698    |  12.363  |  13.550 |  13.323 |    10.454    | 7.556  |  65.945 |
|   Michigan State  |    9.094    |  13.355  |  11.146 |  11.749 |    5.959     | 3.939  |  55.243 |
|      Kentucky     |    9.323    |  10.015  |  12.269 |  11.441 |    5.899     | 4.017  |  52.963 |
|       Purdue      |    9.629    |  10.722  |  6.491  |  7.138  |    6.873     | 4.919  |  45.772 |
|     Marquette     |    9.512    |  11.387  |  10.115 |  8.080  |    3.504     | 2.015  |  44.613 |
|        TAMU       |    9.695    |  10.933  |  9.561  |  5.250  |    4.168     | 2.393  |  42.000 |
|     Wisconsin     |    6.401    |  6.819   |  8.344  |  7.866  |    4.235     | 2.958  |  36.623 |
|      Gonzaga      |    9.276    |  9.099   |  4.988  |  5.236  |    4.749     | 3.125  |  36.472 |
|      Arizona      |    5.816    |  4.770   |  6.714  |  7.512  |    6.192     | 4.721  |  35.724 |
|      Michigan     |    8.762    |  10.422  |  5.876  |  3.061  |    2.967     | 2.046  |  33.133 |
|      Missouri     |    7.020    |  9.156   |  5.967  |  5.087  |    3.024     | 1.637  |  31.891 |
|       Baylor      |    8.128    |  8.250   |  7.066  |  3.721  |    2.879     | 1.588  |  31.632 |
|       UConn       |    9.213    |  8.932   |  4.238  |  1.863  |    1.570     | 0.921  |  26.737 |
| Mississippi State |    8.503    |  6.522   |  5.010  |  3.329  |    1.686     | 0.771  |  25.822 |
|       Oregon      |    8.747    |  7.848   |  3.637  |  2.336  |    1.000     | 0.383  |  23.951 |
|     Texas Tech    |    5.848    |  3.425   |  4.252  |  2.808  |    3.184     | 2.689  |  22.208 |
|   West Virginia   |    6.185    |  5.830   |  4.603  |  3.261  |    1.254     | 0.636  |  21.769 |
|        UCLA       |    5.194    |  4.263   |  4.473  |  2.540  |    2.067     | 1.226  |  19.764 |
|     Louisville    |    6.120    |  3.662   |  3.799  |  3.538  |    1.479     | 0.824  |  19.422 |
|     Ohio State    |    4.184    |  2.805   |  3.526  |  3.381  |    2.318     | 1.458  |  17.673 |
|    Saint Mary's   |    4.806    |  3.768   |  3.804  |  2.050  |    1.592     | 0.898  |  16.917 |
|      Memphis      |    7.074    |  5.041   |  2.429  |  1.634  |    0.425     | 0.154  |  16.758 |
|    Saint John's   |    6.158    |  2.437   |  2.215  |  2.170  |    1.829     | 1.119  |  15.927 |
|        Pitt       |    5.647    |  3.338   |  2.548  |  1.565  |    0.727     | 0.304  |  14.129 |
|      Ole Miss     |    6.846    |  2.627   |  1.549  |  0.930  |    0.816     | 0.503  |  13.272 |
